BioSample_s	SAMN03565741	SAMN03565809	SAMN03565808	SAMN03565807	SAMN03565806	SAMN03565805	SAMN03565793	SAMN03565794	SAMN03565795	SAMN03565796	SAMN03565797	SAMN03565798	SAMN03565799	SAMN03565800	SAMN03565801	SAMN03565802	SAMN03565803	SAMN03565804	SAMN03565769	SAMN03565770	SAMN03565771	SAMN03565772	SAMN03565773	SAMN03565774	SAMN03565775	SAMN03565776	SAMN03565777	SAMN03565778	SAMN03565779	SAMN03565780	SAMN03565781	SAMN03565782	SAMN03565783	SAMN03565784	SAMN03565785	SAMN03565786	SAMN03565787	SAMN03565788	SAMN03565789	SAMN03565790	SAMN03565791	SAMN03565792	SAMN03565719	SAMN03565721	SAMN03565722	SAMN03565723	SAMN03565724	SAMN03565725	SAMN03565726	SAMN03565727	SAMN03565728	SAMN03565729	SAMN03565730	SAMN03565731	SAMN03565732	SAMN03565733	SAMN03565734	SAMN03565735	SAMN03565736	SAMN03565737	SAMN03565738	SAMN03565739	SAMN03565740	SAMN03565742	SAMN03565743	SAMN03565744	SAMN03565745	SAMN03565746	SAMN03565747	SAMN03565748	SAMN03565749	SAMN03565750	SAMN03565751	SAMN03565752	SAMN03565753	SAMN03565754	SAMN03565755	SAMN03565756	SAMN03565757	SAMN03565758	SAMN03565759	SAMN03565760	SAMN03565761	SAMN03565762	SAMN03565763	SAMN03565764	SAMN03565765	SAMN03565766	SAMN03565767	SAMN03565768	SAMN03565707	SAMN03565708	SAMN03565709	SAMN03565710	SAMN03565711	SAMN03565712	SAMN03565713	SAMN03565714	SAMN03565715	SAMN03565716	SAMN03565717	SAMN03565718	SAMN03565720
AssemblyName_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
BioProject_s	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013	PRJNA282013
BioSampleModel_s	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me	MIMS.me
Center_Name_s	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE	STONY BROOK MEDICINE
Consent_s	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
InsertSize_l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LibraryLayout_s	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED	PAIRED
LibrarySelection_s	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR
LibrarySource_s	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC	GENOMIC
LoadDate_s	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27	2015-04-27
Organism_s	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome	human gut metagenome
Platform_s	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA	ILLUMINA
ReleaseDate_s	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18	2016-04-18
SRA_Study_s	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700	SRP057700
collection_date_s	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014	2014
env_biome_s	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut
env_feature_s	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut	human gut
env_material_s	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
g1k_analysis_group_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
g1k_pop_code_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
geo_loc_name_s	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA	USA
