Organism	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human
disloc	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Ileocolonic	Ileocolonic	Ileal	Ileal	Pancolonic	Pancolonic	Colonic	Ileal	Ileocolonic	Ileocolonic	Ileocolonic	Pancolonic	Ileocolonic	Ileal	Ileocolonic	Ileal	Colonic	Ileocolonic	Pancolonic	Colonic	Ileocolonic	Ileocolonic	Ileocolonic	Left	Pancolonic	Left	Ileocolonic	Pancolonic	Ileocolonic	Pancolonic	Pancolonic	Ileal	Ileocolonic	Ileal	Proctosigmoid	Ileocolonic	Ileocolonic	Pancolonic	Colonic	Colonic	Pancolonic	Pancolonic	Ileocolonic	Pancolonic	Proctosigmoid	Ileocolonic	Ileocolonic	Colonic	Colonic	Colonic	Ileocolonic	Ileocolonic	Colonic	ileal	Pancolonic	Ileocolonic	Colonic	ileal	ileal	Pancolonic	Colonic	Colonic	Left	Ileocolonic	 	 	Ileocolonic	Left	Left	 	 	 	 	 	Ileocolonic	Ileal	Pancolonic	Ileocolonic	 	Ileal	Ileocolonic	Pancolonic	Ileocolonic	Ileal	 	 	Left	Pancolonic	 	 	 	 	Pancolonic	 	 	 	 	 	 	 	 	 	 	 	 	 
dx	CD	CD	UC	CD	 	 	CD	UC	UC	UC	UC	CD	CD	CD	 	CD	 	UC	UC	CD	CD	CD	CD	 	UC	CD	CD	CD	UC	CD	CD	UC	 	CD	CD	UC	UC	UC	CD	CD	CD	UC	CD	UC	CD	UC	CD	UC	 	UC	CD	CD	CD	CD	UC	CD	CD	CD	CD	UC	CD	CD	CD	UC	UC	CD	UC	UC	CD	UC	CD	CD	UC	CD	UC	CD	UC	UC	UC	UC	CD	CD	UC	CD	CD	CD	CD	 	CD	CD	CD	UC	CD	UC	CD	UC	CD	CD	UC	UC	CD	UC	UC	CD	UC	UC	UC	CD	UC	CD	CD	UC	UC	UC	UC	CD	CD	CD	CD	CD	UC	UC	CD	CD	CD	CD	CD	UC	CD	CD	CD	CD	CD	CD	UC	CD	CD	CD	CD	CD	UC	UC	CD	UC	CD	UC	UC	CD	CD	CD	UC	CD	CD	UC	CD	CD	UC	UC	CD	UC	UC	CD	CD	CD	CD	CD	CD	CD	CD	CD	UC	CD	CD	CD	CD	UC	CD	CD	UC	CD	Healthy	Healthy	CD	UC	UC	Healthy	Healthy	Healthy	Healthy	Healthy	CD	CD	UC	CD	Healthy	CD	CD	UC	CD	CD	Healthy	Healthy	UC	UC	Healthy	Healthy	Healthy	Healthy	UC	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy	Healthy
gender	M	M	M	F	M	M	M	M	F	F	F	M	M	M	M	F	M	F	F	F	F	F	M	F	M	M	F	M	M	M	M	M	M	M	M	F	F	M	M	M	M	M	M	F	F	M	F	M	F	F	M	F	M	M	F	M	M	F	F	F	M	M	M	F	M	F	F	F	F	M	F	F	M	M	F	F	F	M	M	M	F	F	F	M	M	M	F	F	M	M	F	M	M	F	M	F	M	F	M	F	M	M	F	F	F	M	M	M	M	M	M	F	M	M	M	M	F	F	F	M	F	F	F	F	F	M	M	F	M	F	M	M	F	F	F	F	F	M	M	M	F	M	M	F	F	M	M	F	F	M	F	F	F	F	F	M	M	F	M	F	M	M	M	M	M	M	M	M	M	M	F	F	F	F	M	M	M	M	F	F	F	F	M	M	M	F	M	F	M	F	M	M	M	M	F	M	M	F	F	M	F	M	M	M	M	M	M	M	M	M	M	M	F	M	F	M	F	F	M	F	M	M
ileal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
immunosup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mesalamine	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pancol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
pcdaiScore	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	 	 	 	 	 	42.5	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	 	 	27.5	 	 	 	 	 	 	 	 	 	 	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	 	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
pucaiSum	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	 	 	0	 	 	 	 	 	 	 	 	17.5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	20	 	 	 	0	 	 	 	 	 	55	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	40	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
smoker	0	1	0	1	0	0	1	0	1	1	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	1	1	0	0	0	1	0	1	2	2	2	0	0	2	1	2	0	0	0	0	0	2	1	1	0	1	0	1	0	1	1	0	2	2	1	1	1	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	1	2	0	0	0	1	1	0	0	1	0	1	1	0	2	1	0	2	1	1	0	0	0	0	1	0	0	0	9	1	1	0	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	1	0	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
steroids	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
stool	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
