BioSample_s	SAMN01163983	SAMN01163984	SAMN01163985	SAMN01163986	SAMN01163988	SAMN01163989	SAMN01163990	SAMN01163991	SAMN01163992	SAMN01163993	SAMN01163994	SAMN01163995	SAMN01163996	SAMN01163997	SAMN01163998	SAMN01163999	SAMN01164000	SAMN01164001	SAMN01164002	SAMN01164003	SAMN01164004	SAMN01164005	SAMN01164006	SAMN01164007	SAMN01164008	SAMN01164009	SAMN01164010	SAMN01164011	SAMN01164012	SAMN01164013	SAMN01164014	SAMN01164015	SAMN01164016	SAMN01164017	SAMN01164018	SAMN01164019	SAMN01164020	SAMN01164021	SAMN01164022	SAMN01164023	SAMN01164024	SAMN01164025	SAMN01164026	SAMN01164028	SAMN01164029	SAMN01164030	SAMN01164031	SAMN01164032	SAMN01164033	SAMN01164034	SAMN01164035	SAMN01164036	SAMN01164037	SAMN01164051	SAMN01164056	SAMN01164057	SAMN01164058	SAMN01164059	SAMN01164060	SAMN01164062	SAMN01164063	SAMN01164064	SAMN01164065	SAMN01164066	SAMN01164067	SAMN01164068	SAMN01164073	SAMN01164074	SAMN01164075	SAMN01164076	SAMN01164077	SAMN01164078
Consent_s	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public	public
InsertSize_l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LibraryLayout_s	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE	SINGLE
LibrarySelection_s	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR	PCR
LibrarySource_s	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER
Library_Name_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
Organism_s	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome	human metagenome
Platform_s	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454	LS454
ReleaseDate_s	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10	2013-09-10
SRA_Study_s	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698	SRP015698
g1k_analysis_group_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
g1k_pop_code_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
source_s	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>	<not provided>
study_condition	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	CIRR	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	H	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE	MHE
k__Bacteria;p__;c__;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038910505836575876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006731488406881077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__	0.0	0.008665511265164644	0.0	0.0	0.0	0.01741884402216944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021231422505307855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.003435114503816794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
