dataset_name	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	46.1669	42.05118	55.73921	40.13785	42.3287	39.34408	39.1672	76.59058	53.37072	61.30797	41.53784	50.16397	64.63058	55.63458	38.80347	42.11539	82.82157	39.8134	62.16006	70.89273	41.41928	62.61227	26.00541	38.40952	45.14017	55.20607	34.38119	50.91209	65.9137	38.53301	76.17385	52.22102	30.98545	57.60777	86.01965	43.50071	41.81232	62.34484	34.91787	31.51598	0.29756	40.32082	64.28575	55.73573	61.8093	63.46548	27.97224	72.74845	75.34383	70.17432	47.60751	55.70054	50.78822	75.65016	72.39756	47.64168	32.25949	33.64183	0.11945	31.12615	30.0266	52.30271	55.03091	78.38496	56.62688	55.33705	49.47721	26.44372	25.52974	35.85643	21.60844	51.63293	43.90106	43.13645	58.32338	73.2892	74.53371	35.27531	64.25398	22.56437	64.45569	39.39915	64.40937	59.86699	20.44548	30.01115	45.6187	63.06063	28.19122	40.09999	46.13131	67.10162	74.46908	48.09469	48.21608	26.92345	19.06362	33.38787	74.08482	41.98559	72.12625	35.71273	47.21238	63.76728
k__Bacteria.p__Candidatus_Melainabacteria.c__Candidatus_Melainabacteria_unclassified.o__Candidatus_Gastranaerophilales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00478	0.0	0.0	0.02282	0.0	0.0	0.0	0.0	0.0	0.03877	0.0	0.0	0.0	0.0	0.07698	0.0	0.0	0.0	0.0	0.0	0.0	0.00765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	0.00133	0.0	0.0	0.00937	0.00348	0.03173	0.01331	0.0	0.0	0.02014	0.0	0.0	0.00311	0.01098	0.0	0.00653	0.00696	0.02005	0.0	0.0	0.00277	0.0043	0.0067	0.0	0.0	0.00255	0.0	0.0	0.0	0.0	0.0082	0.0	0.00168	0.38103	0.0	0.00941	0.00176	0.0	0.0	0.0	0.06365	0.0	0.0	0.07484	0.0	0.0	0.01102	0.0	0.0	0.00448	0.11565	0.00793	0.0	0.0	0.0	0.99578	0.00287	0.0145	0.00388	0.0	0.01493	0.00062	0.01014	0.0	0.0	0.00308	0.03697	0.0	0.0	0.00863	0.0	0.0	0.0	0.02616	0.00976	0.0	0.05824	0.00469	0.0063	0.00603	0.00174	0.0	0.0	0.0	0.0	0.01705	0.0	0.0	0.00553	0.0	0.0	0.0	0.0	0.00343	0.0	0.0	0.0	0.0	0.02603	0.00109	0.30808	0.0	0.00304	0.00211
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	1.10474	0.07515	0.09358	0.27408	0.15128	0.85337	7.36312	2.81858	0.62434	0.60241	0.26899	0.64108	0.4608	0.33057	0.08315	1.05	0.02422	0.69097	0.05765	0.37298	0.03208	3.02085	0.1793	0.10908	0.23955	0.1656	0.09482	0.22741	0.04537	0.2759	0.03501	0.37848	0.15277	0.16671	0.03477	5.04471	0.21572	0.01309	0.0	0.38293	55.62777	0.00742	0.25723	0.81502	0.06871	0.43828	1.53705	0.7922	0.02391	0.06043	0.46836	1.32171	0.51077	0.96184	0.08747	6.20934	0.10592	4.32028	0.30122	0.00184	0.12487	0.23797	0.09703	0.02674	0.25488	0.0888	0.45216	0.13261	0.01699	1.26536	0.03688	0.1714	0.01219	0.56012	1.41203	0.01983	0.10996	0.17488	0.47435	0.07521	0.02097	0.15498	0.22636	0.30931	0.0	1.38764	1.71576	0.00548	0.05658	0.26567	0.11406	0.05867	0.31248	0.50553	0.24178	0.89667	0.80643	0.26211	2.27471	0.28645	0.16902	0.00398	0.05947	0.01049
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	49.67085	47.41067	40.6652	55.7033	53.08235	35.53005	43.57904	14.54374	42.1222	33.02729	41.01272	45.20232	28.33307	34.19976	45.6811	53.61162	12.49124	52.31021	33.50937	22.58084	50.15441	19.8194	65.29643	56.21501	45.82057	39.00741	62.2543	37.69162	23.13818	27.9335	18.00609	42.72894	59.70892	21.97634	11.08532	41.11218	35.69739	35.01851	34.86521	61.08743	0.65309	52.96309	28.38252	30.85291	21.19183	31.00827	61.67328	19.46203	22.36142	24.4748	31.09091	38.86518	43.62352	10.56132	22.40327	33.31655	48.99972	55.93803	87.62964	57.69808	27.47283	39.41641	41.32991	16.95603	35.36878	30.89805	22.29272	67.69766	61.3993	56.54217	63.97357	40.65334	49.18022	20.07875	32.72991	21.52433	20.40761	58.80169	25.08962	70.60746	31.71799	52.36221	25.17068	33.25176	47.82399	63.27808	40.92116	31.21749	51.08557	50.2693	46.85675	21.8007	17.21464	40.43374	41.17582	59.74343	54.68818	60.12481	15.13851	47.91348	22.89003	46.74525	39.71066	31.8805
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales	0.06759	0.73241	0.19094	0.26591	0.15765	4.6945	0.09941	0.15446	0.23882	0.08616	6.43845	0.12548	0.84598	0.52311	0.32014	0.13443	0.12579	0.17412	0.01422	0.97983	1.12325	0.06471	0.1625	0.48232	0.21481	1.22594	0.06776	2.43293	0.10964	0.09191	0.83737	0.04933	1.80381	7.72656	0.20992	0.15584	0.15553	0.43344	0.10346	0.92525	5.86117	0.65553	0.27072	0.34907	0.99514	0.13471	2.16874	0.21272	0.8397	1.00058	5.73777	0.45644	0.11631	1.45597	0.8958	0.82652	0.01011	0.12457	1.78177	0.15917	3.45534	1.75324	0.12946	1.81549	0.12626	3.7295	2.28881	0.27064	0.03345	0.53657	1.63884	0.88127	0.05845	4.69308	0.2094	1.8438	0.6781	1.2436	2.1113	0.99351	1.08089	0.52058	6.28012	1.68466	0.04895	0.28369	0.12641	0.11933	0.61158	1.50464	2.04865	0.24972	1.0493	0.1777	0.68905	0.19103	0.67083	0.07	0.63902	0.08139	0.03024	0.11477	5.95707	0.24612
k__Bacteria.p__Firmicutes.c__Firmicutes_unclassified.o__Firmicutes_unclassified	0.61214	1.29616	0.36025	0.79813	1.24513	0.84235	1.01291	0.0	0.60541	0.26928	1.88876	0.83591	0.47892	1.10389	2.53668	0.73774	1.64493	1.51712	0.88492	0.04515	1.39027	0.05995	0.53645	1.85103	3.70644	0.88058	0.91134	1.28142	2.38408	1.15327	0.03289	0.0	0.19923	2.98807	0.08124	0.76556	1.76612	0.01156	7.00254	1.12414	0.0	0.62301	0.59141	1.32714	2.48205	0.08796	0.382	0.44936	0.0	1.59938	12.23022	0.30216	2.50329	2.43866	0.28782	0.55164	0.79989	0.36004	0.0	2.72978	2.11557	0.58778	0.55411	0.00295	0.61936	0.5608	0.66079	1.93676	1.79109	0.19607	1.02585	0.00857	2.37607	1.40115	0.18947	0.01877	0.00148	0.29915	2.13408	0.33972	0.11275	1.23877	0.0	0.28171	1.29446	0.43968	0.06011	0.43775	0.34678	0.44688	1.57368	2.34809	0.09502	2.13808	1.67596	4.9294	12.51396	1.49795	0.0	0.22046	0.09407	1.075	0.16882	1.92387
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales	0.17982	0.0	1.94123	0.95122	1.48091	0.53824	2.43293	4.39493	1.33005	2.43773	1.87392	0.0	4.50226	1.46457	4.06814	0.62822	0.79197	1.00576	0.0	3.11139	1.13197	0.32901	0.00441	0.03551	0.94296	1.10047	0.03845	3.12729	0.59976	0.12064	1.93057	2.35053	1.06935	0.41134	0.4717	4.35206	1.67293	1.15722	2.59795	1.31413	0.0	2.44514	2.35363	3.22414	4.24316	0.70473	2.96416	0.37901	0.51518	0.02395	0.83067	1.35163	0.22757	1.23346	1.52897	4.43894	0.51519	2.10131	0.0	2.26042	0.40727	3.07009	0.0	1.03268	0.75075	3.30114	10.53861	0.00614	1.88147	0.1082	1.70954	3.65428	0.95936	0.22083	0.0	2.38277	0.02905	2.59432	0.0	1.30574	1.10603	1.75476	3.4466	0.91688	6.312	0.0	2.20168	2.07725	2.71523	1.94119	1.57315	1.81186	0.0	2.38733	3.02466	0.0	0.49944	0.25609	1.83823	0.0	0.0	0.00494	0.0	1.74533
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48553	1.02501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06623	0.43048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00108	0.0	0.4869	0.0	0.0	0.0	0.0
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Veillonellales	0.16768	0.0	0.0	0.44693	0.0	0.04864	0.3737	0.1002	0.11883	0.30233	0.0	0.26492	0.03996	0.01491	0.0	0.00042	0.11244	0.40888	0.07508	0.05326	0.0	0.69772	0.29145	0.17105	0.0	0.0	0.22128	0.00303	0.0	0.24595	0.0	0.05379	0.10208	0.12501	0.01434	0.12506	0.04423	0.0	0.0	0.0	2.77326	0.0	0.02963	0.39138	0.0	0.01839	0.23215	0.02177	0.0	0.0	0.02364	0.01538	0.31242	0.89823	0.02632	1.9609	0.27824	1.41754	0.62811	0.0	0.11917	0.00914	0.0	0.0	0.00345	0.21452	0.47545	0.40487	0.0	2.62819	0.0	0.04949	0.0	0.01552	1.18714	0.04297	0.92307	0.01215	0.74722	0.11684	0.0	0.20292	0.0132	0.0	0.0	0.83622	0.22775	0.01504	0.0	0.02154	0.0	0.00532	0.54566	0.0	0.0	0.63301	2.33069	0.23132	1.37476	0.57031	0.15659	0.05166	0.08235	0.0
k__Bacteria.p__Firmicutes.c__Tissierellia.o__Tissierellales	0.0	0.0	0.0	0.0	0.11025	0.17568	0.0	0.0	0.0	0.01223	0.0	0.0	0.0	0.01738	0.00065	0.0	0.0	0.00084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06091	0.0	0.0	0.0	0.0	0.09818	0.0	0.0	0.0	0.0	0.21424	0.0	0.0	0.0	0.02839	0.07719	0.0	0.0	0.26686	0.0	0.0	0.24229	0.00474	0.0	0.0	0.0	0.0011	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.00385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26075	0.0	1.41504	0.0
k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales	0.0	0.0	0.0	0.0	0.00277	0.21985	0.0	0.00759	0.0	0.00366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48623	0.0	0.03468	0.05765	0.0	0.0	0.0	0.0	0.00359	0.0	0.0	0.0	0.0	0.15795	0.05521	1.01852	0.0	0.0	0.0	0.0	0.01546	0.0	0.0	0.00211	0.0	0.10648	0.0	0.03047	0.0391	0.0	0.01357	0.0	0.0	0.29524	0.00356	0.00707	0.01251	0.0	0.0	0.0	0.00073	0.0	0.0	0.0	0.0	0.21826	0.26255	0.00539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058	0.0	0.11401	0.0	0.0161	0.0
k__Bacteria.p__Lentisphaerae.c__Lentisphaeria.o__Victivallales	0.0	0.00291	0.04362	0.0	0.0	0.0	0.0	0.0	0.0	0.00162	0.0	0.0	0.0	0.0	0.03636	0.0	0.0	0.1162	0.0	0.0	0.37792	0.0	0.0	0.0	0.00748	0.0	0.00934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.0006	0.10994	0.0	0.0	0.00817	0.01262	0.0	0.0	0.04611	0.0	0.0	0.0	0.0	0.0	0.00845	0.0	0.0	0.0	0.09565	0.0	0.0	0.0	0.0	0.049	0.00766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017	0.0583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12503	0.00831	0.0	0.0	0.0	0.05166	0.01912	0.0	0.0	0.0	0.0	0.0131	0.0	0.0	0.0	0.0
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	0.58342	0.83976	0.07165	0.0	0.00491	0.0071	0.05459	0.24692	0.00806	0.12171	0.06546	0.0	0.0	0.7574	0.05031	0.30955	0.06184	0.57151	1.25609	0.07401	0.09786	0.03178	0.35811	0.02067	0.35198	0.0	0.18089	0.0	0.04988	0.0915	0.05009	0.0	0.47988	0.02093	0.37302	0.06713	0.18107	0.0	0.69829	0.02892	0.36028	0.16216	0.05676	0.04246	0.05458	0.0014	0.07321	0.00117	0.60219	0.1847	0.0	0.04596	0.05973	0.04807	0.04987	0.05789	0.0633	0.03062	0.0	0.0	0.5385	0.38562	0.0248	1.07269	0.12868	0.05027	0.01335	0.09212	0.06418	1.03434	0.14846	0.06253	0.06684	0.09958	0.35649	0.07383	0.09554	0.01013	0.00063	0.0	0.08266	0.06171	0.0	0.0	0.01559	0.0	0.24172	0.82437	0.02524	0.05321	0.88743	0.0	0.00933	0.01024	0.13864	0.16834	0.15145	0.08773	0.23112	0.21424	0.72496	0.53231	0.0	0.0
